,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta (3Y Monthly),52-Week Change,S&P500 52-Week Change,52 Week High,52 Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,"Shares Short (Jan 31, 2019)","Short Ratio (Jan 31, 2019)","Short % of Float (Jan 31, 2019)","Short % of Shares Outstanding (Jan 31, 2019)","Shares Short (prior month Dec 31, 2018)",Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Last Split Factor (new per old),Last Split Date
BGR,363570000.0,358210000.0,4.38,,,20.91,0.76,20.6,,2017-12-31 00:00:00,2018-06-30 00:00:00,4.7699,0.7045,0.0166,0.1848,17390000.0,0.58,0.016,17280000.0,,82930000.0,2.78,,290570.0,0.01,,,0.66,15.97,24160000.0,4840000.0,1.35,-0.1111,0.027999999999999997,15.77,9.87,11.72,12.92,210450.0,111250.0,29830000.0,,0.0,0.26,32450.000000000004,0.09,,0.0006,91130.0,0.93,0.0781,0.93,0.0771,,0.5969,2019-01-31 00:00:00,2019-02-14 00:00:00,,
BGS,1780000000.0,3780000000.0,9.41,13.28,-43.9,1.03,2.13,2.18,11.7,2017-12-30 00:00:00,2018-09-29 00:00:00,0.11,0.156,0.0507,0.2345,1730000000.0,26.1,0.040999999999999995,464630000.0,322860000.0,190420000.0,2.87,-0.023,26170000.0,0.4,2080000000.0,249.26,1.61,12.63,169320000.0,-92640000.0,0.83,-0.1384,0.027999999999999997,33.5,22.0,27.51,29.03,698440.0,478450.0,65930000.00000001,64440000.0,0.022000000000000002,1.0127,23490000.0,29.96,0.4166,0.3563,22240000.0,1.9,0.073,1.88,0.0704,4.81,0.6573,2019-01-30 00:00:00,2018-12-28 00:00:00,,
BGSF,249990000.0,305860000.0,19.77,12.88,0.79,0.86,3.98,1.05,11.89,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0407,0.0704,0.1178,0.2253,290560000.0,31.52,0.081,68400000.0,25730000.0,11820000.0,1.25,0.614,,,23980000.0,38.16,2.06,6.19,17480000.0,11180000.0,0.87,0.5944,0.027999999999999997,29.59,16.18,23.94,24.82,53910.0,81000.0,10160000.0,8720000.0,0.1445,0.4308,210480.0,4.08,0.0245,0.0207,189530.0,1.2,0.0444,1.15,0.0423,,0.9016,2019-02-26 00:00:00,2018-11-02 00:00:00,,
BGT,289920000.0,427580000.0,22.15,,,11.25,0.85,16.58,,2018-10-31 00:00:00,2018-10-31 00:00:00,0.5079,0.8398,0.0264,0.0384,25780000.0,1.09,0.14,25780000.0,,13090000.0,0.55,-0.24,1980000.0,0.08,142000000.0,41.88,0.09,14.33,25440000.0,1980000.0,0.4,-0.1132,0.027999999999999997,14.13,11.26,12.06,12.59,165310.0,136680.0,23670000.0,,0.0,0.3525,,,,,,0.74,0.0611,0.71,0.0584,,1.3042,2019-01-09 00:00:00,2018-03-14 00:00:00,,
BGX,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.55,?%,0.027999999999999997,16.62,13.4,14.77,15.19,78150.0,56780.0,,,0.001,0.2768,,,,,,1.4,0.0922,,,,0.8892,2019-02-28 00:00:00,2018-05-22 00:00:00,,
BGY,595410000.0,598240000.0,218.4,,,24.53,0.86,24.65,,2017-12-31 00:00:00,2018-06-30 00:00:00,0.1142,0.6899,0.0144,0.0039,24270000.0,0.22,0.7020000000000001,17190000.0,,2770000.0,0.03,,438300.0,0.0,,,1.26,6.36,53260000.0,5860000.0,0.82,-0.129,0.027999999999999997,6.41,4.78,5.31,5.41,462810.0,206280.0,109050000.0,,0.0,0.3196,,,,,,0.41,0.07440000000000001,0.46,0.0834,,0.0973,2019-01-31 00:00:00,2018-09-13 00:00:00,,
BH,424490000.0,255960000.0,3.58,-15.39,,0.52,0.16,0.31,15.52,2017-12-31 00:00:00,2018-09-30 00:00:00,0.0563,-0.0038,-0.002,0.0893,823770000.0,679.87,-0.05,152520000.0,16500000.0,46410000.0,38.27,,78390000.0,126.31,251440000.0,47.58,0.93,851.47,3250000.0,-13770000.0,1.43,-0.9967,0.027999999999999997,44380.0,111.0,126.25,155.03,6710.0,5420.0,2070000.0,276650.0,0.005,0.9399,16940.0,2.5,0.0181,0.008199999999999999,17770.0,,,,,,0.0,,1996-06-14 00:00:00,10.0,2018-05-01 00:00:00
BHB,407480000.0,1020000000.0,12.38,,,3.51,1.1,8.81,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2839,0.371,0.0092,0.0908,116040000.0,7.49,-0.006,116040000.0,,32940000.0,2.12,0.153,98750000.0,6.36,723800000.0,,,23.87,,,0.89,-0.0878,0.027999999999999997,30.95,21.25,23.9,25.94,26440.0,19120.0,15520000.0,15110000.0,0.022000000000000002,0.4954,233100.0,10.05,0.0155,0.015,246580.0,0.8,0.0325,0.79,0.0304,2.84,0.3711,2019-03-15 00:00:00,2019-02-14 00:00:00,0.666666666667,2017-03-22 00:00:00
BHBK,602140000.0,781120000.0,25.3,19.67,,6.58,1.49,8.54,,2018-12-31 00:00:00,2018-12-31 00:00:00,0.2684,0.4126,0.009000000000000001,0.0612,91500000.0,3.77,0.136,91500000.0,,24560000.0,0.98,3.429,44300000.0,1.82,233000000.0,,,16.64,,,0.46,0.2425,0.027999999999999997,25.8,19.5,23.09,23.03,144160.0,124020.0,24290000.0,23110000.0,0.1216,0.5535,334180.0,2.43,0.0166,0.0124,388120.0,0.8,0.0335,0.7,0.0285,,0.7143,2018-12-18 00:00:00,2018-12-03 00:00:00,,
BHC,8410000000.0,32740000000.000008,,6.35,0.95,1.0,2.67,3.89,9.8,2017-12-31 00:00:00,2018-09-30 00:00:00,-0.3908,0.0298,0.0043,-0.7599,8420000000.0,24.0,-0.037000000000000005,6180000000.0,3340000000.0,-3290000000.0,-9.38,,973000000.0,2.78,24730000000.0,764.01,1.14,9.02,1760000000.0,3400000000.0,1.19,?%,0.027999999999999997,28.45,17.2,23.67,23.52,4420000.0,4150000.0000000005,349760000.0,309670000.0,0.0035,0.5722999999999999,10720000.0,2.46,0.0347,0.0307,10240000.0,,,,,,0.0,,2010-11-10 00:00:00,0.5,2000-10-16 00:00:00
